date,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity,has_ot,gap,prod_cat
2015-01-01,1,sewing,Thursday,8,0.8,26.16,1108.0,7080,98,0.0,0,0,59.0,0.940725424,True,0.140725424,4
2015-01-01,1,finishing,Thursday,1,0.75,3.94,0.0,960,0,0.0,0,0,8.0,0.8865,True,0.13649999999999995,3
2015-01-01,1,sewing,Thursday,11,0.8,11.41,968.0,3660,50,0.0,0,0,30.5,0.800570492,True,0.0005704919999999225,3
2015-01-01,1,sewing,Thursday,12,0.8,11.41,968.0,3660,50,0.0,0,0,30.5,0.800570492,True,0.0005704919999999225,3
2015-01-01,1,sewing,Thursday,6,0.8,25.9,1170.0,1920,50,0.0,0,0,56.0,0.800381944,True,0.0003819439999999119,3
2015-01-01,1,sewing,Thursday,7,0.8,25.9,984.0,6720,38,0.0,0,0,56.0,0.800125,True,0.00012499999999993072,3
2015-01-01,1,finishing,Thursday,2,0.75,3.94,0.0,960,0,0.0,0,0,8.0,0.755166667,True,0.005166667000000014,2
2015-01-01,1,sewing,Thursday,3,0.75,28.08,795.0,6900,45,0.0,0,0,57.5,0.753683478,True,0.003683478000000018,2
2015-01-01,1,sewing,Thursday,2,0.75,19.87,733.0,6000,34,0.0,0,0,55.0,0.753097531,True,0.0030975309999999867,2
2015-01-01,1,sewing,Thursday,1,0.75,28.08,681.0,6900,45,0.0,0,0,57.5,0.750427826,True,0.00042782600000002,2
2015-01-01,1,sewing,Thursday,9,0.7,28.08,872.0,6900,44,0.0,0,0,57.5,0.721126957,True,0.021126957000000002,2
2015-01-01,1,sewing,Thursday,10,0.75,19.31,578.0,6480,45,0.0,0,0,54.0,0.712205247,True,-0.037794753000000014,2
2015-01-01,1,sewing,Thursday,5,0.8,11.41,668.0,3660,50,0.0,0,0,30.5,0.707045902,True,-0.0929540980000001,2
2015-01-01,1,finishing,Thursday,10,0.65,3.94,0.0,960,0,0.0,0,0,8.0,0.705916667,True,0.055916666999999975,2
2015-01-01,1,finishing,Thursday,8,0.75,2.9,0.0,960,0,0.0,0,0,8.0,0.676666667,True,-0.073333333,1
2015-01-01,1,finishing,Thursday,4,0.75,3.94,0.0,2160,0,0.0,0,0,18.0,0.593055556,True,-0.15694444399999996,1
